State,Pages,Names,,,,,Row Labels,Sum of Names
AA,1,1,,,,,AA,1
AK,1,20,,,,,AK,20
AL,1,90,,,,,AL,90
AP,1,0,,,,,AP,0
AR,1,36,,,,,AR,36
AZ,3,100,,,,,AZ,245
AZ,3,100,,,,,CA,1000
AZ,3,45,,,,,CO,395
CA,10,100,,,,,CT,75
CA,10,100,,,,,DC,13
CA,10,100,,,,,DE,41
CA,10,100,,,,,FL,992
CA,10,100,,,,,GA,316
CA,10,100,,,,,GU,3
CA,10,100,,,,,HI,106
CA,10,100,,,,,IA,132
CA,10,100,,,,,ID,144
CA,10,100,,,,,IL,460
CO,4,100,,,,,IN,218
CO,4,100,,,,,KS,77
CO,4,100,,,,,KY,110
CO,4,95,,,,,LA,27
CT,1,75,,,,,MA,166
DC,1,13,,,,,MD,234
DE,1,41,,,,,ME,31
FL,10,100,,,,,MI,305
FL,10,100,,,,,MN,264
FL,10,100,,,,,MO,250
FL,10,100,,,,,MS,49
FL,10,100,,,,,MT,86
FL,10,100,,,,,NC,337
FL,10,100,,,,,ND,25
FL,10,100,,,,,NE,38
FL,10,100,,,,,NH,52
FL,10,92,,,,,NJ,169
GA,4,100,,,,,NM,51
GA,4,100,,,,,NV,124
GA,4,100,,,,,NY,520
GA,4,16,,,,,OH,459
GU,1,3,,,,,OK,68
HI,2,100,,,,,OR,300
HI,2,6,,,,,PA,488
IA,2,100,,,,,PR,22
IA,2,32,,,,,RI,17
ID,2,100,,,,,SC,140
ID,2,44,,,,,SD,25
IL,5,100,,,,,TN,156
IL,5,100,,,,,TX,603
IL,5,100,,,,,UT,149
IL,5,100,,,,,VA,414
IL,5,60,,,,,VI,1
IN,3,100,,,,,VT,47
IN,3,100,,,,,WA,408
IN,3,18,,,,,WI,233
KS,1,77,,,,,WV,44
KY,2,100,,,,,WY,72
KY,2,10,,,,,Grand Total,10848
LA,1,27,,,,,,
MA,2,100,,,,,,
MA,2,66,,,,,,
MD,3,100,,,,,,
MD,3,100,,,,,,
MD,3,34,,,,,,
ME,1,31,,,,,,
MI,4,100,,,,,,
MI,4,100,,,,,,
MI,4,100,,,,,,
MI,4,5,,,,,,
MN,3,100,,,,,,
MN,3,100,,,,,,
MN,3,64,,,,,,
MO,3,100,,,,,,
MO,3,100,,,,,,
MO,3,50,,,,,,
MS,1,49,,,,,,
MT,1,86,,,,,,
NC,4,100,,,,,,
NC,4,100,,,,,,
NC,4,100,,,,,,
NC,4,37,,,,,,
ND,1,25,,,,,,
NE,1,38,,,,,,
NH,1,52,,,,,,
NJ,2,100,,,,,,
NJ,2,69,,,,,,
NM,1,51,,,,,,
NV,2,100,,,,,,
NV,2,24,,,,,,
NY,6,100,,,,,,
NY,6,100,,,,,,
NY,6,100,,,,,,
NY,6,100,,,,,,
NY,6,100,,,,,,
NY,6,20,,,,,,
OH,5,100,,,,,,
OH,5,100,,,,,,
OH,5,100,,,,,,
OH,5,100,,,,,,
OH,5,59,,,,,,
OK,1,68,,,,,,
OR,3,100,,,,,,
OR,3,100,,,,,,
OR,3,100,,,,,,
PA,5,100,,,,,,
PA,5,100,,,,,,
PA,5,100,,,,,,
PA,5,100,,,,,,
PA,5,88,,,,,,
PR,1,22,,,,,,
RI,1,17,,,,,,
SC,2,100,,,,,,
SC,2,40,,,,,,
SD,1,25,,,,,,
TN,2,100,,,,,,
TN,2,56,,,,,,
TX,7,100,,,,,,
TX,7,100,,,,,,
TX,7,100,,,,,,
TX,7,100,,,,,,
TX,7,100,,,,,,
TX,7,100,,,,,,
TX,7,3,,,,,,
UT,2,100,,,,,,
UT,2,49,,,,,,
VA,5,100,,,,,,
VA,5,100,,,,,,
VA,5,100,,,,,,
VA,5,100,,,,,,
VA,5,14,,,,,,
VI,1,1,,,,,,
VT,1,47,,,,,,
WA,5,100,,,,,,
WA,5,100,,,,,,
WA,5,100,,,,,,
WA,5,100,,,,,,
WA,5,8,,,,,,
WI,3,100,,,,,,
WI,3,100,,,,,,
WI,3,33,,,,,,
WV,1,44,,,,,,
WY,1,72,,,,,,
